provider,provider_url,feed_type,feed_url,feed_id,resume_cursor
Pembrokeshire Leisure,https://connect.pembrokeshire.gov.uk/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-facility-uses,pembrokeshire-leisure--facilityuse,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-facility-uses?afterTimestamp=246717772&afterId=S007
pentest,https://pentest-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://pentest-openactive.legendonlineservices.co.uk/api/facility-uses,pentest--facilityuse,
Places Leisure,https://placesleisure.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/PlacesLeisure-live-facility-uses,places-leisure--facilityuse,https://opendata.leisurecloud.live/api/feeds/PlacesLeisure-live-facility-uses?afterTimestamp=301030895&afterId=013A010211
Played,https://openactive.played.co/openactive/,facilityUse,https://openactive.played.co/feeds/facility-uses,played--facilityuse,https://openactive.played.co/feeds/facility-uses?afterChangeNumber=18700632
Playfinder,https://ajsports.bookteq.com/api/open-active/,facilityUse,https://ajsports.bookteq.com/api/open-active/facility-uses,playfinder--facilityuse,https://ajsports.bookteq.com/api/open-active/facility-uses
Plymouth Active,https://plymouthcouncil.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/PlymouthCouncil-live-facility-uses,plymouth-active--facilityuse,https://opendata.leisurecloud.live/api/feeds/PlymouthCouncil-live-facility-uses?afterTimestamp=122317621&afterId=PLCLIMBCASUAL
Pomphrey Hill Community Sports Association,https://pomphreyhill.bookteq.com/api/open-active/,facilityUse,https://pomphreyhill.bookteq.com/api/open-active/facility-uses,pomphrey-hill-community-sports-association--facilityuse,https://pomphreyhill.bookteq.com/api/open-active/facility-uses?afterTimestamp=1784546102835150&afterId=6738c168-bc85-4ac2-ae9b-83defecbcc2a
Precision Football Arena,https://precisionfootballarena.bookteq.com/api/open-active/,facilityUse,https://precisionfootballarena.bookteq.com/api/open-active/facility-uses,precision-football-arena--facilityuse,https://precisionfootballarena.bookteq.com/api/open-active/facility-uses?afterTimestamp=1781792739561037&afterId=fad07fff-6844-4478-b87a-d4d5949951e7
Prees Sports and Social Club,https://preessportsclub.bookteq.com/api/open-active/,facilityUse,https://preessportsclub.bookteq.com/api/open-active/facility-uses,prees-sports-and-social-club--facilityuse,https://preessportsclub.bookteq.com/api/open-active/facility-uses?afterTimestamp=1727340774816375&afterId=21689832-e0e4-4de2-bb42-4d85c636184f
Princes Park Youth Football Club,https://princesparkyouthfc.bookteq.com/api/open-active/,facilityUse,https://princesparkyouthfc.bookteq.com/api/open-active/facility-uses,princes-park-youth-football-club--facilityuse,https://princesparkyouthfc.bookteq.com/api/open-active/facility-uses?afterTimestamp=1768231340816281&afterId=2c4521a6-aa9f-4204-af77-72a5199aecf3
Priory Federation of Academies,https://prioryfederation.bookteq.com/api/open-active/,facilityUse,https://prioryfederation.bookteq.com/api/open-active/facility-uses,priory-federation-of-academies--facilityuse,https://prioryfederation.bookteq.com/api/open-active/facility-uses?afterTimestamp=1775375636894942&afterId=125f1773-f4fc-4be0-b8dd-ffe31718f1f5
QH Memorial Sports Ground - River Pitches,https://qhmemorialsportsground.bookteq.com/api/open-active/,facilityUse,https://qhmemorialsportsground.bookteq.com/api/open-active/facility-uses,qh-memorial-sports-ground-river-pitches--facilityuse,https://qhmemorialsportsground.bookteq.com/api/open-active/facility-uses?afterTimestamp=1784547384907088&afterId=5cc0b3a3-c30e-4651-89d9-5d2ad18b2a63
Reading Rugby Club,https://readingrugbyclub.bookteq.com/api/open-active/,facilityUse,https://readingrugbyclub.bookteq.com/api/open-active/facility-uses,reading-rugby-club--facilityuse,https://readingrugbyclub.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769005560322441&afterId=459a64d5-bdac-423c-accb-3815418f1214
Redbridge Sports Centre,https://rslonline.leisurecloud.net/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/RedbridgeSportsCentre-live-facility-uses,redbridge-sports-centre--facilityuse,https://opendata.leisurecloud.live/api/feeds/RedbridgeSportsCentre-live-facility-uses?afterTimestamp=36519316&afterId=14055
Rivers Fitness,https://riversfitness.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/WychavonLeisure-live-facility-uses,rivers-fitness--facilityuse,https://opendata.leisurecloud.live/api/feeds/WychavonLeisure-live-facility-uses?afterTimestamp=75310574&afterId=DH20003
salfordcommunityleisure,https://salfordcommunityleisure-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://salfordcommunityleisure-openactive.legendonlineservices.co.uk/api/facility-uses,salfordcommunityleisure--facilityuse,
School Enterprises Ltd,https://schoolenterprises.bookteq.com/api/open-active/,facilityUse,https://schoolenterprises.bookteq.com/api/open-active/facility-uses,school-enterprises-ltd--facilityuse,https://schoolenterprises.bookteq.com/api/open-active/facility-uses?afterTimestamp=1784035043561070&afterId=983237b3-7d59-4e62-b5f6-854b2f7cb223
Serco Leisure,https://serco-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://serco-openactive.legendonlineservices.co.uk/api/facility-uses,serco-leisure--facilityuse,
Shirley High School,https://shirleyhighschool.bookteq.com/api/open-active/,facilityUse,https://shirleyhighschool.bookteq.com/api/open-active/facility-uses,shirley-high-school--facilityuse,https://shirleyhighschool.bookteq.com/api/open-active/facility-uses?afterTimestamp=1770802869726491&afterId=332a2909-889f-4894-9910-ae434b495f6d
SLL and InspireAll,https://sllandinspireall-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://sllandinspireall-openactive.legendonlineservices.co.uk/api/facility-uses,sll-and-inspireall--facilityuse,
Southwark Council,https://southwarkcouncil-oa.leisurecloud.net/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/SouthwarkCouncil-live-facility-uses,southwark-council--facilityuse,https://southwarkcouncil.bookteq.com/api/open-active/facility-uses?afterTimestamp=1768231363008851&afterId=bf891236-d13f-4681-aad1-24f98492f8f0
Southwark Council,https://southwarkcouncil.bookteq.com/api/open-active/,facilityUse,https://southwarkcouncil.bookteq.com/api/open-active/facility-uses,southwark-council--facilityuse,https://southwarkcouncil.bookteq.com/api/open-active/facility-uses?afterTimestamp=1768231363008851&afterId=bf891236-d13f-4681-aad1-24f98492f8f0
Spalding United Football Club,https://spaldingunitedfootballclub.bookteq.com/api/open-active/,facilityUse,https://spaldingunitedfootballclub.bookteq.com/api/open-active/facility-uses,spalding-united-football-club--facilityuse,https://spaldingunitedfootballclub.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769005626978982&afterId=1ca09f4b-98d1-47bd-86eb-165befe966e1
Sports IQ LTD,https://sportsiq.bookteq.com/api/open-active/,facilityUse,https://sportsiq.bookteq.com/api/open-active/facility-uses,sports-iq-ltd--facilityuse,https://sportsiq.bookteq.com/api/open-active/facility-uses?afterTimestamp=1778008076770871&afterId=b5b7f656-adf0-41a5-a9ca-188ef72fc0c0
St Cuthbert Mayne School,https://stcuthbertmayneschool.bookteq.com/api/open-active/,facilityUse,https://stcuthbertmayneschool.bookteq.com/api/open-active/facility-uses,st-cuthbert-mayne-school--facilityuse,https://stcuthbertmayneschool.bookteq.com/api/open-active/facility-uses?afterTimestamp=1780668041349083&afterId=8575059c-07f5-42ff-be13-aa35044bf5d7
"St George's School, Harpenden",https://stgeorgesschool.bookteq.com/api/open-active/,facilityUse,https://stgeorgesschool.bookteq.com/api/open-active/facility-uses,st-george-s-school-harpenden--facilityuse,https://stgeorgesschool.bookteq.com/api/open-active/facility-uses?afterTimestamp=1762954686005198&afterId=3513ce0d-b2a0-4713-9cad-3243062f03ad
Stanley Primary School,https://stanleyprimaryschool.bookteq.com/api/open-active/,facilityUse,https://stanleyprimaryschool.bookteq.com/api/open-active/facility-uses,stanley-primary-school--facilityuse,https://stanleyprimaryschool.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769005649091404&afterId=86cc4d3f-42ef-4c4e-9b89-11df673ebdef
Stowe Enterprises Ltd,https://stoweenterprisesltd.bookteq.com/api/open-active/,facilityUse,https://stoweenterprisesltd.bookteq.com/api/open-active/facility-uses,stowe-enterprises-ltd--facilityuse,https://stoweenterprisesltd.bookteq.com/api/open-active/facility-uses?afterTimestamp=1779887868706394&afterId=e9a4577f-f20a-49a2-8f57-530a116b9868
Strikers Indoor Football,https://strikersindoorsports.bookteq.com/api/open-active/,facilityUse,https://strikersindoorsports.bookteq.com/api/open-active/facility-uses,strikers-indoor-football--facilityuse,https://strikersindoorsports.bookteq.com/api/open-active/facility-uses?afterTimestamp=1767392230626241&afterId=80c63671-8a3c-480e-912f-b74dfbc0d736
strouddistrictcouncil,https://strouddistrictcouncil-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://strouddistrictcouncil-openactive.legendonlineservices.co.uk/api/facility-uses,strouddistrictcouncil--facilityuse,https://strouddistrictcouncil-openactive.legendonlineservices.co.uk/api/facility-uses?afterTimestamp=648635&afterId=138
Sunbury Cricket Club,https://sunburycricketclub.bookteq.com/api/open-active/,facilityUse,https://sunburycricketclub.bookteq.com/api/open-active/facility-uses,sunbury-cricket-club--facilityuse,https://sunburycricketclub.bookteq.com/api/open-active/facility-uses?afterTimestamp=1721325403725510&afterId=5a91dc7d-5e43-47fd-a5c9-5880e7f8cca4
Tendring Leisure,https://tendringcouncil-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://tendringcouncil-openactive.legendonlineservices.co.uk/api/facility-uses,tendring-leisure--facilityuse,https://tendringcouncil-openactive.legendonlineservices.co.uk/api/facility-uses?afterTimestamp=426181&afterId=104
The Black Prince Trust ,https://theblackprincetrust.bookteq.com/api/open-active/,facilityUse,https://theblackprincetrust.bookteq.com/api/open-active/facility-uses,the-black-prince-trust--facilityuse,https://theblackprincetrust.bookteq.com/api/open-active/facility-uses?afterTimestamp=1775048533488112&afterId=23d4377e-c447-4d2c-8888-8af88e0d5897
The Downside Settlement,https://thedownsidesettlement.bookteq.com/api/open-active/,facilityUse,https://thedownsidesettlement.bookteq.com/api/open-active/facility-uses,the-downside-settlement--facilityuse,https://thedownsidesettlement.bookteq.com/api/open-active/facility-uses?afterTimestamp=1777473299005011&afterId=3989abad-a322-4559-b961-2336a9eee1cb
The Hub - Rise Community,https://risecommunitycic.bookteq.com/api/open-active/,facilityUse,https://risecommunitycic.bookteq.com/api/open-active/facility-uses,the-hub-rise-community--facilityuse,https://risecommunitycic.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769005566542052&afterId=160a70d7-a7bf-4336-8838-3a914e4fa934
The Sports Warehouse (Flint) LTD,https://thesportswarehouseltd.bookteq.com/api/open-active/,facilityUse,https://thesportswarehouseltd.bookteq.com/api/open-active/facility-uses,the-sports-warehouse-flint-ltd--facilityuse,https://thesportswarehouseltd.bookteq.com/api/open-active/facility-uses?afterTimestamp=1778586674250995&afterId=8b576e1a-74f1-4e77-8d8d-dcbd6533d84e
The Woodroffe School,https://thewoodroffeschool.bookteq.com/api/open-active/,facilityUse,https://thewoodroffeschool.bookteq.com/api/open-active/facility-uses,the-woodroffe-school--facilityuse,https://thewoodroffeschool.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769005746761401&afterId=d99c7857-6670-4123-8b39-1c2aed8d6def
Tonbridge and Malling Leisure Trust,https://tma.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/tma-live-facility-uses,tonbridge-and-malling-leisure-trust--facilityuse,https://opendata.leisurecloud.live/api/feeds/tma-live-facility-uses?afterTimestamp=0&afterId=
Trafford Community Leisure Trust,https://traffordleisure.leisurecloud.net/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/TraffordCommunityLeisureTrust-live-facility-uses,trafford-community-leisure-trust--facilityuse,https://opendata.leisurecloud.live/api/feeds/TraffordCommunityLeisureTrust-live-facility-uses?afterTimestamp=124833229&afterId=U5ASIDESPHALL50
University of Bristol,https://universityofbristol-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://universityofbristol-openactive.legendonlineservices.co.uk/api/facility-uses,university-of-bristol--facilityuse,https://universityofbristol-openactive.legendonlineservices.co.uk/api/facility-uses?afterTimestamp=1458010&afterId=1108
Vision Redbridge,https://visionredbridge.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/VisionRedbridge-live-facility-uses,vision-redbridge--facilityuse,https://opendata.leisurecloud.live/api/feeds/VisionRedbridge-live-facility-uses?afterTimestamp=0&afterId=
Waltham Forest Council,https://walthamforestcouncil.bookteq.com/api/open-active/,facilityUse,https://walthamforestcouncil.bookteq.com/api/open-active/facility-uses,waltham-forest-council--facilityuse,https://walthamforestcouncil.bookteq.com/api/open-active/facility-uses?afterTimestamp=1783940324049761&afterId=e35b21d9-1ad1-4a13-8ce1-ba748ad378e9
Wasps FC - Rugby in West London,https://waspsfootballclub.bookteq.com/api/open-active/,facilityUse,https://waspsfootballclub.bookteq.com/api/open-active/facility-uses,wasps-fc-rugby-in-west-london--facilityuse,https://waspsfootballclub.bookteq.com/api/open-active/facility-uses?afterTimestamp=1686307409163329&afterId=592d41b5-7914-4a50-a9f1-62abcb0a3b42
Water Lilies Swimming School Ltd,https://waterliliesswimmingschool.bookteq.com/api/open-active/,facilityUse,https://waterliliesswimmingschool.bookteq.com/api/open-active/facility-uses,water-lilies-swimming-school-ltd--facilityuse,https://waterliliesswimmingschool.bookteq.com/api/open-active/facility-uses?afterTimestamp=1784548615181686&afterId=64e0269f-854d-4743-889a-0fa2a03eb5cf
Wellington College,https://wellingtonclub.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/WellingtonCollege-live-facility-uses,wellington-college--facilityuse,https://opendata.leisurecloud.live/api/feeds/WellingtonCollege-live-facility-uses?afterTimestamp=42078977&afterId=TENNIS1-6
Wells Cathedral School,https://wellscathedral.bookteq.com/api/open-active/,facilityUse,https://wellscathedral.bookteq.com/api/open-active/facility-uses,wells-cathedral-school--facilityuse,https://wellscathedral.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769005805816278&afterId=475f6314-ca9b-4e1c-87e9-f0e088bbc34f
West Heath Primary School,https://westheathprimaryschool.bookteq.com/api/open-active/,facilityUse,https://westheathprimaryschool.bookteq.com/api/open-active/facility-uses,west-heath-primary-school--facilityuse,https://westheathprimaryschool.bookteq.com/api/open-active/facility-uses?afterTimestamp=1747920283442775&afterId=5f0687df-7950-4246-bcd6-be6f2971071e
West Wight Sports and Community,https://westwight.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/WestWightSportsandCommunity-live-facility-uses,west-wight-sports-and-community--facilityuse,https://opendata.leisurecloud.live/api/feeds/WestWightSportsandCommunity-live-facility-uses?afterTimestamp=7723955&afterId=ACT0000127
Wigan Leisure and Culture Trust,https://bewellwigan.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/WiganLeisureandCultureTrust-live-facility-uses,wigan-leisure-and-culture-trust--facilityuse,https://opendata.leisurecloud.live/api/feeds/WiganLeisureandCultureTrust-live-facility-uses?afterTimestamp=63739687&afterId=HLCZTOU002
Woolmer Hill Sports Association,https://woolmerhillsportspark.bookteq.com/api/open-active/,facilityUse,https://woolmerhillsportspark.bookteq.com/api/open-active/facility-uses,woolmer-hill-sports-association--facilityuse,https://woolmerhillsportspark.bookteq.com/api/open-active/facility-uses?afterTimestamp=1775122007693847&afterId=7b0ca0e2-950e-469e-afe6-e26b84b19b8c
WV Active,https://wvactive.leisurecloud.net/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/WVActive-live-facility-uses,wv-active--facilityuse,https://opendata.leisurecloud.live/api/feeds/WVActive-live-facility-uses?afterTimestamp=54626489&afterId=BTOUR
Wycliffe College,https://wycliffecollege.bookteq.com/api/open-active/,facilityUse,https://wycliffecollege.bookteq.com/api/open-active/facility-uses,wycliffe-college--facilityuse,https://wycliffecollege.bookteq.com/api/open-active/facility-uses?afterTimestamp=1777980700500270&afterId=554b2b25-1bc1-4942-8bdf-c7fd689f9575
Wymondham Town United FC,https://wymondhamtownunitedfc.bookteq.com/api/open-active/,facilityUse,https://wymondhamtownunitedfc.bookteq.com/api/open-active/facility-uses,wymondham-town-united-fc--facilityuse,https://wymondhamtownunitedfc.bookteq.com/api/open-active/facility-uses?afterTimestamp=1783242845403797&afterId=02fe5474-f1f4-4acc-9554-83595308c7f5
Your Leisure,https://yourleisure.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/YourLeisure-live-facility-uses,your-leisure--facilityuse,https://opendata.leisurecloud.live/api/feeds/YourLeisure-live-facility-uses?afterTimestamp=37631481&afterId=FSDHWB2024
100% TO THE TOP CIC,https://topcic.bookteq.com/api/open-active/,slot,https://topcic.bookteq.com/api/open-active/slots,100-to-the-top-cic--slot,https://topcic.bookteq.com/api/open-active/slots?afterTimestamp=1784548460604561&afterId=fc014a97-30c8-54ba-88f4-841f4b51b160
Actihire,https://actihire.bookteq.com/api/open-active/,slot,https://actihire.bookteq.com/api/open-active/slots,actihire--slot,https://actihire.bookteq.com/api/open-active/slots?afterTimestamp=1784549254051456&afterId=9e29bf1e-ba60-5844-bf69-b949da93ef04
Active Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/,slot,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-slots,active-hartlepool--slot,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-slots?afterTimestamp=0&afterId=
Active Leeds,https://activeleeds-oa.leisurecloud.net/OpenActive/,slot,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,active-leeds--slot,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots?afterTimestamp=118975306&afterId=MIACT00003_2026-07-22T11-00-00
Active Luton,https://activeluton-openactive.legendonlineservices.co.uk/openactive/,slot,https://activeluton-openactive.legendonlineservices.co.uk/api/facility-uses/events,active-luton--slot,
Active Tameside,https://tameside-openactive.legendonlineservices.co.uk/openactive/,slot,https://tameside-openactive.legendonlineservices.co.uk/api/facility-uses/events,active-tameside--slot,
activenottingham,https://activenottingham-openactive.legendonlineservices.co.uk/openactive/,slot,https://activenottingham-openactive.legendonlineservices.co.uk/api/facility-uses/events,activenottingham--slot,
aliveleisure,https://aliveleisure-openactive.legendonlineservices.co.uk/openactive/,slot,https://aliveleisure-openactive.legendonlineservices.co.uk/api/facility-uses/events,aliveleisure--slot,
ANGUSalive,https://angusalive-openactive.legendonlineservices.co.uk/openactive/,slot,https://angusalive-openactive.legendonlineservices.co.uk/api/facility-uses/events,angusalive--slot,
Appleby Frodingham Sports Club,https://appleby.bookteq.com/api/open-active/,slot,https://appleby.bookteq.com/api/open-active/slots,appleby-frodingham-sports-club--slot,https://appleby.bookteq.com/api/open-active/slots?afterTimestamp=1784549017263380&afterId=e4ef17ac-9f36-588a-9f21-ff500d46d3af
Ashmole Trust,https://ashmoletrust.bookteq.com/api/open-active/,slot,https://ashmoletrust.bookteq.com/api/open-active/slots,ashmole-trust--slot,https://ashmoletrust.bookteq.com/api/open-active/slots?afterTimestamp=1784549091516210&afterId=fef4b43f-db7f-502a-9263-ced591a4438d
Awesome CIC,https://awesomecic.bookteq.com/api/open-active/,slot,https://awesomecic.bookteq.com/api/open-active/slots,awesome-cic--slot,https://awesomecic.bookteq.com/api/open-active/slots?afterTimestamp=1784549055023255&afterId=d101cda2-acbd-5bf4-befc-b5bdc4be9b34
Bangor City Stadium,https://bangorcitystadium.bookteq.com/api/open-active/,slot,https://bangorcitystadium.bookteq.com/api/open-active/slots,bangor-city-stadium--slot,https://bangorcitystadium.bookteq.com/api/open-active/slots?afterTimestamp=1784549035850404&afterId=fa0ffe7a-4d47-5662-90f9-16ac67a602b2
Barrow Park Leisure Centre,https://barrowcouncil-openactive.legendonlineservices.co.uk/openactive/,slot,https://barrowcouncil-openactive.legendonlineservices.co.uk/api/facility-uses/events,barrow-park-leisure-centre--slot,
Basingstoke Wellbeing,https://basingstokewellbeing.bookteq.com/api/open-active/,slot,https://basingstokewellbeing.bookteq.com/api/open-active/slots,basingstoke-wellbeing--slot,https://basingstokewellbeing.bookteq.com/api/open-active/slots
Be Well - London Borough of Tower Hamlets,https://towerhamletscouncil.gs-signature.cloud/OpenActive/,slot,https://opendata.leisurecloud.live/api/feeds/TowerHamletsCouncil-live-slots,be-well-london-borough-of-tower-hamlets--slot,https://opendata.leisurecloud.live/api/feeds/TowerHamletsCouncil-live-slots?afterTimestamp=152309521&afterId=MACT000034_2026-07-25T11-00-00
Bedford Town Football Club,https://bedfordtownfootballclub.bookteq.com/api/open-active/,slot,https://bedfordtownfootballclub.bookteq.com/api/open-active/slots,bedford-town-football-club--slot,https://bedfordtownfootballclub.bookteq.com/api/open-active/slots?afterTimestamp=1784549054592995&afterId=effab29a-5245-5f1d-8e74-26a35f22ba89
Better,https://better-admin.org.uk/api/openactive/better,slot,https://better-admin.org.uk/api/openactive/better/slots,better--slot,https://better-admin.org.uk/api/openactive/better/slots?afterTimestamp=1784543714&afterId=activity%3A92824638
Birmingham City Council,https://bccleisure.gs-signature.cloud/OpenActive/,slot,https://opendata.leisurecloud.live/api/feeds/BirminghamCityCouncil-live-slots,birmingham-city-council--slot,https://opendata.leisurecloud.live/api/feeds/BirminghamCityCouncil-live-slots?afterTimestamp=42194902&afterId=HWACT00001_2026-07-20T15-00-00
Bishop Challoner Sports Centre,https://bishopchallonersportscentre.bookteq.com/api/open-active/,slot,https://bishopchallonersportscentre.bookteq.com/api/open-active/slots,bishop-challoner-sports-centre--slot,https://bishopchallonersportscentre.bookteq.com/api/open-active/slots?afterTimestamp=1784549656092495&afterId=f0ce5dcc-7555-5f87-a189-be28b6e0a6a3
Blue Flames Sporting Club Limited,https://blueflamessportingclublimited.bookteq.com/api/open-active/,slot,https://blueflamessportingclublimited.bookteq.com/api/open-active/slots,blue-flames-sporting-club-limited--slot,https://blueflamessportingclublimited.bookteq.com/api/open-active/slots?afterTimestamp=1784549972181178&afterId=af27cc12-2f05-5aa4-8b0e-11cd2b7f87e0
Bolder Academy,https://bolderacademy.bookteq.com/api/open-active/,slot,https://bolderacademy.bookteq.com/api/open-active/slots,bolder-academy--slot,https://bolderacademy.bookteq.com/api/open-active/slots?afterTimestamp=1784549646231715&afterId=edfc2517-2549-5c39-b36c-936740f88077
boltonarena,https://boltonarena-openactive.legendonlineservices.co.uk/openactive/,slot,https://boltonarena-openactive.legendonlineservices.co.uk/api/facility-uses/events,boltonarena--slot,
Brea Avalon LLP,https://ajnstadium.bookteq.com/api/open-active/,slot,https://ajnstadium.bookteq.com/api/open-active/slots,brea-avalon-llp--slot,https://ajnstadium.bookteq.com/api/open-active/slots?afterTimestamp=1784549666009204&afterId=f8f1b036-f430-5b0c-a992-c0d9641443ec
bridportleisure,https://bridportleisure-openactive.legendonlineservices.co.uk/openactive/,slot,https://bridportleisure-openactive.legendonlineservices.co.uk/api/facility-uses/events,bridportleisure--slot,
Brimhams Active,https://brimhamsactive.gs-signature.cloud/OpenActive/,slot,https://opendata.leisurecloud.live/api/feeds/BrimhamsActive-live-slots,brimhams-active--slot,
Broughton Town Council ,https://broughtontowncouncil.bookteq.com/api/open-active/,slot,https://broughtontowncouncil.bookteq.com/api/open-active/slots,broughton-town-council--slot,https://broughtontowncouncil.bookteq.com/api/open-active/slots?afterTimestamp=1784549644120368&afterId=f11fa06d-c482-51be-9ccb-a67f87c52167
Brynteg School,https://bryntegschool.bookteq.com/api/open-active/,slot,https://bryntegschool.bookteq.com/api/open-active/slots,brynteg-school--slot,https://bryntegschool.bookteq.com/api/open-active/slots?afterTimestamp=1784549633340801&afterId=fc79f17e-5425-5336-99cf-320d5518733e
BwD Leisure,https://blackburnwithdarwen-openactive.legendonlineservices.co.uk/openactive/,slot,https://blackburnwithdarwen-openactive.legendonlineservices.co.uk/api/facility-uses/events,bwd-leisure--slot,
Castlepoint,https://castlepoint.gs-signature.cloud/OpenActive/,slot,https://opendata.leisurecloud.live/api/feeds/Castlepoint-live-slots,castlepoint--slot,https://opendata.leisurecloud.live/api/feeds/Castlepoint-live-slots?afterTimestamp=110522900&afterId=WMGENIRE6_2026-07-20T15-30-00
celticleisure,https://celticleisure-openactive.legendonlineservices.co.uk/openactive/,slot,https://celticleisure-openactive.legendonlineservices.co.uk/api/facility-uses/events,celticleisure--slot,https://celticleisure-openactive.legendonlineservices.co.uk/api/facility-uses/events?afterTimestamp=0&afterId=0
Chauncy School,https://chauncyschool.bookteq.com/api/open-active/,slot,https://chauncyschool.bookteq.com/api/open-active/slots,chauncy-school--slot,https://chauncyschool.bookteq.com/api/open-active/slots?afterTimestamp=1784549617874038&afterId=fa8fe53d-46c3-5ff0-a70a-7989652b1ca9
Chelmsford City Sports,https://chelmsfordcitysports.gs-signature.cloud/OpenActive/,slot,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-slots,chelmsford-city-sports--slot,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-slots?afterTimestamp=45148824&afterId=DSQUASH1_2026-07-20T17-40-00
Chelmsford City Sports,https://chelmsfordcitysports.leisurecloud.net/OpenActive/,slot,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-slots,chelmsford-city-sports--slot,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-slots?afterTimestamp=45148824&afterId=DSQUASH1_2026-07-20T17-40-00
Colchester Leisure World,https://leisureworldmembership.leisurecloud.net/OpenActive/,slot,https://opendata.leisurecloud.live/api/feeds/ColchesterLeisureWorld-live-slots,colchester-leisure-world--slot,https://opendata.leisurecloud.live/api/feeds/ColchesterLeisureWorld-live-slots?afterTimestamp=91553212&afterId=NPICKLETBALL_2026-07-20T21-00-00
Conwy,https://conwy.gs-signature.cloud/OpenActive/,slot,https://opendata.leisurecloud.live/api/feeds/Conwy-live-slots,conwy--slot,https://opendata.leisurecloud.live/api/feeds/Conwy-live-slots?afterTimestamp=42028272&afterId=TIHTN20_2026-07-20T14-00-00
Coram's Fields,https://coramsfields.bookteq.com/api/open-active/,slot,https://coramsfields.bookteq.com/api/open-active/slots,coram-s-fields--slot,https://coramsfieldsindoorspaces.bookteq.com/api/open-active/slots?afterTimestamp=1784549635706820&afterId=d6a8d079-3631-5dcd-b15d-4bdfd01ad2f0
Coram's Fields,https://coramsfieldsindoorspaces.bookteq.com/api/open-active/,slot,https://coramsfieldsindoorspaces.bookteq.com/api/open-active/slots,coram-s-fields--slot,https://coramsfieldsindoorspaces.bookteq.com/api/open-active/slots?afterTimestamp=1784549635706820&afterId=d6a8d079-3631-5dcd-b15d-4bdfd01ad2f0
Courts Club,https://shikogroupltd.bookteq.com/api/open-active/,slot,https://shikogroupltd.bookteq.com/api/open-active/slots,courts-club--slot,https://shikogroupltd.bookteq.com/api/open-active/slots?afterTimestamp=1784549644043990&afterId=ee90bb4f-9770-5629-a30a-7a1322a09289
Courtside Hubs CIC,https://api.premiertennis.co.uk/openactive,slot,https://api.premiertennis.co.uk/openactive/feed/individual-facility-use-slots,courtside-hubs-cic--slot,https://api.premiertennis.co.uk/openactive/feed/individual-facility-use-slots?afterTimestamp=1784550294&afterId=2206268
Danbury Parish Council,https://danburyparishcouncil.bookteq.com/api/open-active/,slot,https://danburyparishcouncil.bookteq.com/api/open-active/slots,danbury-parish-council--slot,https://danburyparishcouncil.bookteq.com/api/open-active/slots?afterTimestamp=1784550221549204&afterId=fdf8868c-6eca-5394-baa3-bf22512e8850
