publisher,field,verdict,n
WV_Active,ageRange,SOURCE_ABSENT,738
WV_Active,attendeeInstructions,INHERITABLE,683
WV_Active,attendeeInstructions,SOURCE_ABSENT,55
WV_Active,category,INHERITABLE,738
WV_Active,description,SOURCE_ABSENT,738
WV_Active,eventSchedule,INHERITABLE,738
WV_Active,genderRestriction,INHERITABLE,738
WV_Active,level,SOURCE_ABSENT,738
WV_Active,location,INHERITABLE,738
WV_Active,name,INHERITABLE,738
WV_Active,offers,INHERITABLE,695
WV_Active,offers,SOURCE_ABSENT,43
WV_Active,organizer,INHERITABLE,738
WV_Active,url,SOURCE_ABSENT,738
Wellington_College,activity,SOURCE_ABSENT,627
Wellington_College,ageRange,SOURCE_ABSENT,627
Wellington_College,attendeeInstructions,INHERITABLE,607
Wellington_College,attendeeInstructions,SOURCE_ABSENT,20
Wellington_College,category,INHERITABLE,627
Wellington_College,description,SOURCE_ABSENT,627
Wellington_College,eventSchedule,INHERITABLE,627
Wellington_College,genderRestriction,INHERITABLE,24
Wellington_College,genderRestriction,SOURCE_ABSENT,603
Wellington_College,level,SOURCE_ABSENT,627
Wellington_College,location,INHERITABLE,627
Wellington_College,name,INHERITABLE,627
Wellington_College,offers,INHERITABLE,4
Wellington_College,offers,SOURCE_ABSENT,623
Wellington_College,organizer,INHERITABLE,32
Wellington_College,organizer,SOURCE_ABSENT,595
Wellington_College,url,INHERITABLE,627
Your_Leisure,activity,SOURCE_ABSENT,823
Your_Leisure,ageRange,SOURCE_ABSENT,823
Your_Leisure,attendeeInstructions,INHERITABLE,820
Your_Leisure,attendeeInstructions,SOURCE_ABSENT,3
Your_Leisure,category,INHERITABLE,823
Your_Leisure,description,SOURCE_ABSENT,823
Your_Leisure,eventSchedule,INHERITABLE,823
Your_Leisure,genderRestriction,INHERITABLE,800
Your_Leisure,genderRestriction,SOURCE_ABSENT,23
Your_Leisure,level,SOURCE_ABSENT,823
Your_Leisure,location,INHERITABLE,823
Your_Leisure,name,INHERITABLE,823
Your_Leisure,offers,INHERITABLE,823
Your_Leisure,organizer,INHERITABLE,800
Your_Leisure,organizer,SOURCE_ABSENT,23
Your_Leisure,url,INHERITABLE,823
